post_id,comment_text,sentiments
1,I'm crying this is so real,Neutral
1,okay but why does this describe my life,Positive
1,okay but why does this describe my life,Positive
1,okay but why,Positive
1,okay but why,Positive
1,this hit different,Neutral
2,this hit different,Neutral
2,cool video,Positive
2,this is the most relatable thing I've ever seen,Positive
2,sent this to my entire contact list,Neutral
2,👍,Neutral
2,good content,Positive
2,nobody talks about this enough,Neutral
3,good content,Positive
3,sent this to my entire contact list,Neutral
3,nice,Positive
4,I feel so seen,Neutral
4,this is the most relatable thing I've ever seen,Positive
4,nice,Positive
5,okay but why does this describe my life,Positive
5,I'm crying this is so real,Neutral
5,interesting,Positive
5,okay but why,Positive
5,this hit different,Neutral
5,nice,Positive
6,this is the most relatable thing I've ever seen,Positive
6,this is the most relatable thing I've ever seen,Positive
6,I'm crying this is so real,Neutral
6,sent this to my entire contact list,Neutral
6,I needed to hear this today,Neutral
6,I feel so seen,Neutral
6,I'm crying this is so real,Neutral
7,sent this to my entire contact list,Neutral
7,interesting,Positive
7,first,Positive
7,I'm crying this is so real,Neutral
8,okay but why,Positive
8,this is literally me,Neutral
8,this is the most relatable thing I've ever seen,Positive
8,sent this to my entire contact list,Neutral
8,sent this to my entire contact list,Neutral
9,informative,Neutral
9,okay but why,Positive
9,I'm crying this is so real,Neutral
9,good content,Positive
9,I needed to hear this today,Neutral
9,why is this so accurate,Positive
10,okay but why does this describe my life,Positive
10,okay but why does this describe my life,Positive
10,👍,Neutral
11,why is this so accurate,Positive
11,informative,Neutral
11,nobody talks about this enough,Neutral
11,okay but why does this describe my life,Positive
12,nobody talks about this enough,Neutral
12,okay but why does this describe my life,Positive
12,thanks for sharing,Positive
12,this is the most relatable thing I've ever seen,Positive
12,sent this to my entire contact list,Neutral
12,nice,Positive
12,this is the most relatable thing I've ever seen,Positive
13,this is literally me,Neutral
13,first,Positive
13,sent this to my entire contact list,Neutral
13,thanks for sharing,Positive
13,sent this to my entire contact list,Neutral
13,this is literally me,Neutral
14,okay but why,Positive
14,this hit different,Neutral
14,okay but why,Positive
14,this is literally me,Neutral
14,👍,Neutral
15,informative,Neutral
15,this is literally me,Neutral
15,okay but why,Positive
15,interesting,Positive
15,this hit different,Neutral
15,interesting,Positive
16,ok,Positive
16,this is the most relatable thing I've ever seen,Positive
16,okay but why does this describe my life,Positive
17,okay but why,Positive
17,thanks for sharing,Positive
17,nobody talks about this enough,Neutral
17,this hit different,Neutral
17,this is literally me,Neutral
17,thanks for sharing,Positive
18,nobody talks about this enough,Neutral
18,good content,Positive
18,nobody talks about this enough,Neutral
18,nobody talks about this enough,Neutral
18,I'm crying this is so real,Neutral
18,I feel so seen,Neutral
18,sent this to my entire contact list,Neutral
19,👍,Neutral
19,👍,Neutral
19,nobody talks about this enough,Neutral
20,interesting,Positive
20,cool video,Positive
20,okay but why does this describe my life,Positive
20,good content,Positive
20,why is this so accurate,Positive
20,this hit different,Neutral
21,this is literally me,Neutral
21,thanks for sharing,Positive
21,why is this so accurate,Positive
22,I feel so seen,Neutral
22,ok,Positive
22,why is this so accurate,Positive
23,interesting,Positive
23,cool video,Positive
23,okay but why,Positive
23,okay but why does this describe my life,Positive
23,this is literally me,Neutral
23,why is this so accurate,Positive
23,this hit different,Neutral
24,I'm crying this is so real,Neutral
24,I feel so seen,Neutral
24,this is literally me,Neutral
24,this is literally me,Neutral
24,good content,Positive
24,this is literally me,Neutral
24,cool video,Positive
25,I needed to hear this today,Neutral
25,this is literally me,Neutral
25,why is this so accurate,Positive
25,nobody talks about this enough,Neutral
25,cool video,Positive
26,ok,Positive
26,this hit different,Neutral
26,I'm crying this is so real,Neutral
27,this hit different,Neutral
27,this is the most relatable thing I've ever seen,Positive
27,this is literally me,Neutral
27,sent this to my entire contact list,Neutral
28,okay but why does this describe my life,Positive
28,informative,Neutral
28,I feel so seen,Neutral
28,this is the most relatable thing I've ever seen,Positive
28,nice,Positive
29,okay but why,Positive
29,why is this so accurate,Positive
29,ok,Positive
29,informative,Neutral
29,why is this so accurate,Positive
29,this hit different,Neutral
29,this hit different,Neutral
30,thanks for sharing,Positive
30,cool video,Positive
30,I needed to hear this today,Neutral
31,cool video,Positive
31,this hit different,Neutral
31,nice,Positive
31,why is this so accurate,Positive
31,nobody talks about this enough,Neutral
31,ok,Positive
32,why is this so accurate,Positive
32,why is this so accurate,Positive
32,okay but why does this describe my life,Positive
32,👍,Neutral
32,okay but why does this describe my life,Positive
32,I needed to hear this today,Neutral
33,interesting,Positive
33,this hit different,Neutral
33,I'm crying this is so real,Neutral
34,informative,Neutral
34,I needed to hear this today,Neutral
34,okay but why does this describe my life,Positive
34,👍,Neutral
34,I needed to hear this today,Neutral
34,cool video,Positive
34,nice,Positive
35,this is the most relatable thing I've ever seen,Positive
35,I needed to hear this today,Neutral
35,this is literally me,Neutral
35,I needed to hear this today,Neutral
35,this is the most relatable thing I've ever seen,Positive
35,nobody talks about this enough,Neutral
35,👍,Neutral
36,this is literally me,Neutral
36,nobody talks about this enough,Neutral
36,okay but why does this describe my life,Positive
36,nobody talks about this enough,Neutral
37,this is literally me,Neutral
37,why is this so accurate,Positive
37,why is this so accurate,Positive
37,I'm crying this is so real,Neutral
37,I feel so seen,Neutral
37,ok,Positive
38,👍,Neutral
38,👍,Neutral
38,I feel so seen,Neutral
38,informative,Neutral
38,cool video,Positive
39,I'm crying this is so real,Neutral
39,I needed to hear this today,Neutral
39,nobody talks about this enough,Neutral
39,first,Positive
40,nobody talks about this enough,Neutral
40,okay but why does this describe my life,Positive
40,okay but why does this describe my life,Positive
40,I needed to hear this today,Neutral
40,informative,Neutral
41,why is this so accurate,Positive
41,interesting,Positive
41,nobody talks about this enough,Neutral
41,this hit different,Neutral
41,good content,Positive
41,sent this to my entire contact list,Neutral
41,sent this to my entire contact list,Neutral
42,nobody talks about this enough,Neutral
42,I needed to hear this today,Neutral
42,first,Positive
42,I needed to hear this today,Neutral
42,okay but why does this describe my life,Positive
42,okay but why does this describe my life,Positive
43,this is the most relatable thing I've ever seen,Positive
43,👍,Neutral
43,okay but why does this describe my life,Positive
43,I feel so seen,Neutral
43,sent this to my entire contact list,Neutral
43,this is literally me,Neutral
43,informative,Neutral
44,first,Positive
44,this is the most relatable thing I've ever seen,Positive
44,cool video,Positive
44,okay but why,Positive
44,this is literally me,Neutral
44,this is literally me,Neutral
44,sent this to my entire contact list,Neutral
45,this hit different,Neutral
45,why is this so accurate,Positive
45,this hit different,Neutral
45,this is the most relatable thing I've ever seen,Positive
45,okay but why does this describe my life,Positive
45,I feel so seen,Neutral
45,this is the most relatable thing I've ever seen,Positive
46,first,Positive
46,why is this so accurate,Positive
46,sent this to my entire contact list,Neutral
46,this is literally me,Neutral
46,interesting,Positive
46,thanks for sharing,Positive
47,cool video,Positive
47,cool video,Positive
47,I needed to hear this today,Neutral
47,good content,Positive
48,first,Positive
48,interesting,Positive
48,this hit different,Neutral
48,okay but why does this describe my life,Positive
48,👍,Neutral
48,I'm crying this is so real,Neutral
49,cool video,Positive
49,nice,Positive
49,this is the most relatable thing I've ever seen,Positive
49,cool video,Positive
49,this hit different,Neutral
49,first,Positive
50,why is this so accurate,Positive
50,I feel so seen,Neutral
50,I needed to hear this today,Neutral
51,I'm crying this is so real,Neutral
51,I needed to hear this today,Neutral
51,interesting,Positive
52,this is literally me,Neutral
52,this is the most relatable thing I've ever seen,Positive
52,this hit different,Neutral
53,this is literally me,Neutral
53,why is this so accurate,Positive
53,cool video,Positive
53,thanks for sharing,Positive
53,I needed to hear this today,Neutral
54,I needed to hear this today,Neutral
54,I needed to hear this today,Neutral
54,this is the most relatable thing I've ever seen,Positive
54,I needed to hear this today,Neutral
54,this is literally me,Neutral
54,nobody talks about this enough,Neutral
54,interesting,Positive
55,I'm crying this is so real,Neutral
55,👍,Neutral
55,this hit different,Neutral
55,I feel so seen,Neutral
56,I needed to hear this today,Neutral
56,first,Positive
56,okay but why does this describe my life,Positive
56,I needed to hear this today,Neutral
56,why is this so accurate,Positive
56,I feel so seen,Neutral
57,why is this so accurate,Positive
57,nobody talks about this enough,Neutral
57,this is literally me,Neutral
57,okay but why does this describe my life,Positive
58,I needed to hear this today,Neutral
58,this is the most relatable thing I've ever seen,Positive
58,this is the most relatable thing I've ever seen,Positive
58,nobody talks about this enough,Neutral
59,I needed to hear this today,Neutral
59,good content,Positive
59,okay but why does this describe my life,Positive
59,thanks for sharing,Positive
59,nobody talks about this enough,Neutral
59,okay but why,Positive
59,why is this so accurate,Positive
60,I feel so seen,Neutral
60,why is this so accurate,Positive
60,cool video,Positive
60,👍,Neutral
60,cool video,Positive
61,this is the most relatable thing I've ever seen,Positive
61,this is literally me,Neutral
61,sent this to my entire contact list,Neutral
62,sent this to my entire contact list,Neutral
62,I'm crying this is so real,Neutral
62,this is literally me,Neutral
62,interesting,Positive
63,nobody talks about this enough,Neutral
63,okay but why,Positive
63,this is the most relatable thing I've ever seen,Positive
64,I'm crying this is so real,Neutral
64,this is the most relatable thing I've ever seen,Positive
64,okay but why,Positive
64,good content,Positive
64,I feel so seen,Neutral
64,why is this so accurate,Positive
65,first,Positive
65,this is the most relatable thing I've ever seen,Positive
65,this is literally me,Neutral
65,👍,Neutral
65,sent this to my entire contact list,Neutral
66,first,Positive
66,why is this so accurate,Positive
66,I feel so seen,Neutral
67,I feel so seen,Neutral
67,I'm crying this is so real,Neutral
67,why is this so accurate,Positive
67,I needed to hear this today,Neutral
67,this is the most relatable thing I've ever seen,Positive
67,I'm crying this is so real,Neutral
68,I needed to hear this today,Neutral
68,I needed to hear this today,Neutral
68,thanks for sharing,Positive
68,nobody talks about this enough,Neutral
68,I'm crying this is so real,Neutral
69,good content,Positive
69,cool video,Positive
69,this hit different,Neutral
70,nobody talks about this enough,Neutral
70,thanks for sharing,Positive
70,okay but why,Positive
70,sent this to my entire contact list,Neutral
71,I'm crying this is so real,Neutral
71,I needed to hear this today,Neutral
71,thanks for sharing,Positive
71,nobody talks about this enough,Neutral
72,this is literally me,Neutral
72,this hit different,Neutral
72,nobody talks about this enough,Neutral
73,this is literally me,Neutral
73,I'm crying this is so real,Neutral
73,informative,Neutral
73,I feel so seen,Neutral
73,ok,Positive
73,cool video,Positive
73,first,Positive
74,this hit different,Neutral
74,this is literally me,Neutral
74,I feel so seen,Neutral
74,okay but why,Positive
74,I feel so seen,Neutral
75,this is literally me,Neutral
75,this hit different,Neutral
75,okay but why,Positive
75,I needed to hear this today,Neutral
75,good content,Positive
75,cool video,Positive
76,this is the most relatable thing I've ever seen,Positive
76,sent this to my entire contact list,Neutral
76,sent this to my entire contact list,Neutral
76,I'm crying this is so real,Neutral
76,why is this so accurate,Positive
77,informative,Neutral
77,this is literally me,Neutral
77,interesting,Positive
77,I feel so seen,Neutral
77,I'm crying this is so real,Neutral
77,informative,Neutral
77,thanks for sharing,Positive
78,I'm crying this is so real,Neutral
78,nobody talks about this enough,Neutral
78,this is literally me,Neutral
78,okay but why does this describe my life,Positive
78,this hit different,Neutral
79,cool video,Positive
79,this is literally me,Neutral
79,thanks for sharing,Positive
80,this is the most relatable thing I've ever seen,Positive
80,thanks for sharing,Positive
80,nobody talks about this enough,Neutral
80,nobody talks about this enough,Neutral
